,Theme,Title,Artist,Album,Lyric
463,아이돌,FINGERTIP,여자친구(GFRIEND),여자친구 The 4th Mini Album 'THE AWAKENING',오늘 난 특별해 설레는 시작이야 .왠지 알 수 없는 두근거림에 끌려.사뿐한 발걸음 오늘따라 괜찮은 느낌이라 .좋아 예감이 다 좋아.(어떻게) 방심한 순간 oh 이건 말도 안돼 .(그렇게) 날 보는 눈빛이 너무 완벽해.아무 흠이 없는 너를 가리킨 순간 .내 것이 될 것 같아.탕탕탕 FINGERTIP 네 맘을 겨눌게 .탕탕탕 FINGERTIP 심장이 멈추게.뭐 어때 네 곁에 더 다가가볼게 .손 끝에 네가 있어 .FINGER FINGERTIP FINGER FINGERTIP.그래 너의 맘을 갖겠어 지금이야 .시작해 완벽해 준비는 이미 끝났어.그 짧은 시간에 내 맘에 들어왔어 .너 빼고 아무도 보이지도 않았어.한 걸음 다가가 너를 스치는 순간 .느낌이 다 좋아 확실히 다가가.(123) 시간이 갈수록 열리는 fantasy .(321) 이 넓은 공간에 가득 가득해.아무 빈틈없는 너를 가리킨 순간 .내 것이 될 것 같아.탕탕탕 FINGERTIP 네 맘을 겨눌게 .탕탕탕 FINGERTIP 심장이 멈추게.뭐 어때 네 곁에 더 다가가볼게 .손 끝에 네가 있어 FINGER FINGERTIP.오랫동안 기다린 순간에도 태연하게 .그 누구도 모르게 눈치채지도 못하게 .손짓하나 까딱까딱 네 맘을 조종할게 .시간이 째깍째깍 다 가기 전에 다가와 1234.정말 어쩌지 널 조준했던 순간 .사랑에 빠질 것 같아.탕탕탕 FINGERTIP 네 맘을 겨눌게.탕탕탕 FINGERTIP 심장이 멈추게.뭐 어때 네 곁에 더 다가가볼게 .손 끝에 네가 있어 .FINGER FINGERTIP FINGERFINGER TIP.그래 너의 맘을 갖겠어 지금이야 .손 끝에 네가 있어 FINGER FINGERTIP
464,아이돌,MAGO,여자친구(GFRIEND),回:Walpurgis Night,더 활짝 필 밤이 시작돼.새로 쓰는 진짜 날 위한.The first page Yeah.6960 magic.춤추는 발끝은 Crazy.날 위한 축배를 Now.모든 Do's and Don'ts.지루해 이젠 다.빗자룰 타고 날아 볼래.Look at me.두려워하진 마 다치진 않아.My life is waiting for you.Yes you.거울 속 날 보고 웃는 그녀.Hakuna matata.My heart is beating for you.Yes you.No more fairy tale.밤은 Tic tak tic tak.Ring my heart.MAGO MAGO.심판해 봐 지금 날.흔들리지 않을 테니.MAGO MAGO.나를 위한 춤을 춰.밤은 Tic tak tic tak.Feel so high.나는 빛이자 어둠이 되고.거짓도 진실도 될 수가 있어.그저 원하면 원하는 대로.기쁨과 슬픔 그대로.다 내가 될 거야.불꽃은 피고 달빛이 가득해.We can dance in this moon night again.Come with me.잔을 들어 봐 미래를 가져 봐.My life is waiting for you.Yes you.거울 속 날 보고 웃는 그녀.Hakuna matata.My heart is beating for you.Yes you.No more fairy tale.밤은 Tic tak tic tak.Ring my heart.MAGO MAGO.심판해 봐 지금 날.흔들리지 않을 테니.MAGO MAGO.나를 위한 춤을 춰.밤은 Tic tak tic tak.Feel so high.In the midnight.In this midnight.불꽃의 축복 속 다시 태어나서 날아.My life is waiting for you.Yes you.거울 속 날 보고 웃는 그녀.Hakuna matata.My heart is beating for you.Yes you.No more fairy tale.밤은 Tic tak tic tak.Ring my heart.MAGO MAGO.심판해 봐 지금 날.흔들리지 않을 테니.MAGO MAGO.나를 위한 춤을 춰.밤은 Tic tak tic tak.Feel so high
465,걸그룹,누구나 비밀은 있다 (feat. 가인 Of Brown Eyed Girls),아이유(IU),Modern Times,내가 누굴 탐했었는지.네가 알면 넌 어떤 표정을 할까.내가 어제 무얼 했는지.네가 알면 넌 어떤 얘기를 할까..영원한 비밀이란 없다고 Oh 말을 하지만.떠들썩하거나 사소하거나.끔찍한 파문이 일지 몰라..누구나 비밀은 있는 거야 아무에게도 말하지 마.우리 아무 일도  없던 걸로  안 들은 걸로 해요.나도 비밀은 있는 거야 누구에게도 말하지 마.사람들에게는 진실이란 중요하지 않아..내가 무슨 꿈을 꿨는지.네가 알면 넌 어떤 얼굴을 할까.내가 누굴 싫어하는지.네가 알면 까무러칠지도 몰라..영원한 비밀이란 없다고.Oh oh oh oh 말을 하지만.넌 내가 정말로 없을 것 같니.아무도 모르는 story 하나.넌 네가 정말로 다 안 것 같니.너의 제일 가까운 그 사람을..누구나 비밀은 있는 거야 아무에게도 말하지 마.우리 아무 일도  없던 걸로  안 들은 걸로 해요.모두 비밀은 있는 거야 누구에게도 말하지 마.사람들에게는 진실이란 중요하지 않아..비밀이 있기에 빛나는 사람.나를 언제나 궁금하게 만들어.다가갈수록 신비로운 사람.그대의 모든 걸 말하지 마요..누구나 비밀은 있는 거야 아무에게도 말하지 마.우리 아무 일도  없던 걸로  안 들은 걸로 해요.모두 비밀은 있는 거야 누구에게도 말하지 마.사람들에게는 진실이란 중요하지 않아.
466,봄,별을 세던 밤,스무살,별을 세던 밤,있잖아 언젠가.아주 어렸을 때 기억처럼 ..어쩌면 어쩌면.별이 노랠 할 수 있다고 믿어.너의 손 잡고 있으면..있잖아 그날 밤.달빛에 담긴 놀이터에서..너에게 너에게.건넨 아이스크림 하나에도.웃어줬었던 널 보면..조용히 모두 잠든 밤 아래.별 하나를 띄울게..아득했던 아름답던.별을 세던 우리들..새벽 같은 너를 보면 난 빛나는 그때.이 노랜 그때로 시계를 멈춰 .When we were the best..있잖아 그날 밤.너에게 내 맘을 고백한 날..나에게 나에게.너도 그렇다며 웃어준 날.눈이 부시게 빛난 날..조용히 모두 잠든 밤 아래.너를 꼭 안았던..아득했던 아름답던.별을 세던 우리들..새벽 같은 너를 보면 난 빛나는 그때.이 노랜 그때로 시계를 멈춰 .When we were the best..아득했던 아름답던.별을 세던 우리들..새벽 같은 너를 보면 난 빛나는 그때.이 노랜 그때로 시계를 멈춰 .When we were the best
467,아이돌,같은 곳에서,소녀온탑,PRODUCE 101 - 35 Girls 5 Concepts,거릴 걷다 한번 씩 .그 노래 들리면.가끔 니가 생각.Say hello to you.함께 가던 그 카페 .지나갈 때면.가끔 니가 생각나.Say hello to you..우린 서로 모르는 척 .다른 곳을 보고 있죠.알수 없는 이 공간 속에 .우린 다른 길을 걷죠..같은 하늘 같은 시간 .같은 곳에서.이젠 다른 사랑 다른 사람 .만나고 있겠죠..우린 너무 어렸죠.사랑을 몰랐었죠.행복을 빌게요 .이젠 안녕 안녕..너와 자주 먹던 솜사탕 .혼자 먹을 때면.가끔 니가 생각나.Say hello to you.니가 바래다주던 길을 .혼자 걸을때면.가끔 니가 생각나.Say hello to you..우린 서로 모르는 척 .다른 곳을 보고 있죠.알 수 없는 이 공간속에 .우린 다른 길을 걷죠..같은 하늘 같은 시간 .같은 곳에서.이젠 다른 사랑 다른 사람 .만나고 있겠죠..우린 너무 어렸죠.사랑을 몰랐었죠.행복을 빌게요 .이젠 안녕 안녕..돌이킬 수 없는 .길을 걷는 우리는.다신 볼 수 없겠죠 .이젠 남이 되겠죠.사랑과 이별이 .공존하는 현실 속에서 .너를 만났기에.따라야 겠죠 그래야겠죠..우린 너무 어렸죠.사랑을 몰랐었죠.행복을 빌게요 .이젠 안녕 안녕..같은 하늘 같은 시간 .같은 곳에서.이젠 다른 사랑 다른 사람 .만나고 있겠죠..우린 너무 어렸죠.사랑을 몰랐었죠.행복을 빌게요 .이젠 안녕 안녕..행복을 빌게요 .이젠 안녕 안녕
468,봄,Taste Of Acid,뜨거운 감자(Hot Potato),Liquor Storage,혀끝에 머금고 있다.코끝에 향이 퍼지면.마음이 물들어 가고.비로소 느낄 수 있는 맛.잘 익은 (농익은) 복숭아 한입.요플레 뚜껑에 묻은.쭈쭈바 꼭지를 따면.영롱한 아침 이슬처럼.붉은색 입술에 묻은.귓불에 여린 솜털이.바람에 하늘거리면.사랑에 사랑이 더해져.잊을 수가 없는 그 맛.나눌 수도 없는 그 맛.찾을 수도 없는 그 맛.같을 수가 없는 그 맛
469,봄,꿈에서,스트레이(The Stray),꿈에서,한결같이 난 오늘도.방 한켠에서 누워만 있어.언제나 그래왔듯.꿈속에서 널 찾고 있어.이미 내게 줄 마음이 없단 걸 알아.이런 날 바라봐달란 게 아냐.없었던 것처럼 없었던 일처럼.지워져 가는 게 두려워.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.이미 내게 줄 마음이 없단 걸 알아.이런 날 바라봐달란 게 아냐.없었던 것처럼 없었던 일처럼.지워져 가는 게 두려워.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.끝없는 상상 속에서.가끔 널 마주치면.모르는 척하곤 해.눈물이 앞을 가려도.작은 허상이라도.난 간절히 바래.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난
470,걸그룹,인어공주,강지영,2012 SBS 가요대전 The Color Of K- Pop - Mystic White,.처음인걸 시간이 멈춘 느낌.Ain't no reason 사랑에 빠졌나봐.너 아니면 보이지가않아 ooh boy~!.한걸음 더 oh 내게 내게 와줘..하루에도 수십번씩 널 널 널.생각하면 나도몰래 love love love.말은 못하고 시간이 없어도 .너만 있으면 (alright)..I know You know? love me.You know I know. kiss me .오늘이 가면 the end..Sad tonight! Oh 내게 다가와 내게 다가와 줘.Come tonight! Oh 나를 바라봐 이 밤이 가기전에..슬픈 인어공주처럼 Oh 말도 못하고.물거품 되 버리기전에 내게 키스해줘..Oh Oh Kiss me Oh Kiss me.Oh Oh Kiss me Oh Kiss Kiss 해줘..나 어쩌면 폭 빠질 것만 같아.Love is Magic 마법에 걸렸나봐..너 아니면 날 구해 줄 수 없어 boy.어서 빨리 오 내게 내게 와줘..혼자 남게 된 밤 너에게 못다한 말.차갑게 식어버린 방안에서 연락만.기다리고 있어 눈치도 참 없어 .애가 타도 몰라주는 너 (Hey you)..I know You know love me.You know I know kiss me.내일이 오면 the end..Sad tonight! Oh 내게 다가와 내게 다가와 줘.Come tonight! Oh 나를 바라봐 이 밤이 가기 전에..슬픈 인어공주처럼 Oh 말도 못하고.물거품 되 버리기전에 내게 키스해줘..Oh Oh Kiss me Oh Kiss me.Oh Oh Kiss me Oh Kiss Kiss 해줘..Love To me 내게 와줘.Say Love me Love me .Come with me boy~!..Sad tonight Oh 내게 다가와 내게 다가와 줘.Come tonight! Oh 나를 바라봐 이 밤이 가기 전에..슬픈 인어공주처럼 Oh 말도 못하고.물거품 되 버리기 전에 내게 키스해줘..Oh Oh Kiss me Oh Kiss me.Oh Oh Kiss me Oh Kiss Kiss 해줘.
471,아이돌,지금  우리,러블리즈(Lovelyz),Lovelyz 2nd Album Repackage [지금  우리],왜 깨지 않는 걸까.늘 이쯤에서 깨곤 했단 말야.참 싫다는 건 아냐.나는 있지 솔직히 좀 실감이 안 나서..왜 살짝 내 손을 잡고.귓속말을 건네는 걸까.몰라 아무것도 들리지 않아.너무 가깝잖아.온 세상이 막 어지럽던 그 순간..지금 너랑 나랑 모든 게 다 거짓말 같아.너랑 일분 이분 시간이 다 거짓말 같아.꿈일까? 아닐까? 몽롱한 기분인 걸.네가 좋아한대 날.어떡해 진짠가 봐..또각또각 불빛 아래 두 사람.빙글빙글 내 두 눈은 너를 따라.사뿐사뿐 발을 맞춰보는 나.진짠가 봐 연인이 될 건가 봐..좀 숨 막힌 것 같아.이 어색함이 나쁘단 건 아냐.그 사랑스런 눈빛.그건 마치 널 보던 내 모습과 닮아서..난 살짝 실눈을 뜨고.너와 나의 거리를 재봐.한 뼘 정도밖에 안 남았잖아.곧 닿을지 몰라.온 세상이 막 어지럽던 그 순간..지금 너랑 나랑 모든 게 다 거짓말 같아.너랑 일분 이분 시간이 다 거짓말 같아.꿈일까? 아닐까? 몽롱한 기분인 걸.네가 좋아한대 날.어떡해 진짠가 봐..또각또각 불빛 아래 두 사람.빙글빙글 내 두 눈은 너를 따라.사뿐사뿐 발을 맞춰보는 나.진짠가 봐 연인이 될 건가 봐..내 귓가에 시작된 멜로디.셀 수 없이 그려왔던.네 떨림과 나의 설렘이 연분홍색 빛 속에 춤을 춰..너랑 이렇게나 가까운 게 거짓말 같아.너의 심장이 막 울리는 게 거짓말 같아.꿈일까? 아닐까? 몽롱한 기분인 걸.네가 사랑한대 날.어떡해 진짠가 봐..또각또각 불빛 아래 두 사람.빙글빙글 내 두 눈은 너를 따라.사뿐사뿐 발을 맞춰 보는 나.진짠가 봐 연인이 된 건가 봐
472,아이돌,Pepe,CLC,첫사랑,네가 내게 뭘 줄 수 있겠니.이건 너의 한계.생각보다 훨씬 멍청해.평생 중2병..남자란 똑같아 (네가 원하는걸).찾으려 헤맬 땐 (조급해지고).무슨 환자야 의사와 상의해.아픈 척하지 말고..왜 건들고 흔들어 님아 혹시.Ooh ooh 어쩌나.You’re so crazy Amazing 해 너의 연기.또 다신 날 찾지 마..후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.이게 네 수준이야..Move back 어딜 봐.넌 못 오르는 나무야.Plz 그만 좀 해 둬.네 여잔 딴 데 가서 알아봐..남자란 똑같아 (네가 원하는걸).찾으려 헤맬 땐 (조급해지고).무슨 환자야 의사와 상의해.아픈 척하지 말고..왜 건들고 흔들어 님아 혹시.Ooh ooh 어쩌나.You’re so crazy Amazing 해 너의 연기.또 다신 날 찾지 마..후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.이게 네 수준이야..뻔한 남자들의 늑대 같은 외침.마침 굶주려 있는 것처럼 건드려.정이 뚝뚝 떨어지는 감동.이제 화도 나지 않아 나도.너와 헤어지니 노래를 불러요.가족 친구들도 만세를 불러요.더듬더듬 잘 가라 Baby.너를 잊는 법도 참 Easy..왜 건들고 흔들어 님아 혹시.Ooh ooh 어쩌나.You’re so crazy Amazing 해 너의 연기.또 다신 날 찾지 마..후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.후비루에 페페 페로 웃겨.이게 네 수준이야
473,아이돌,마음을 드려요,아이유(IU),사랑의 불시착 OST Part 11,당신에게 드릴 게 없어서.나의 마음을 드려요.그대에게 받은 게 많아서.표현을 다 할 수가 없어요.나지막한 인사에.수많은 내 마음 고이 담아.그대에게로 건네면.내 마음 조금 알까요.어떤 이유로 만나.나와 사랑을 하고.어떤 이유로 내게 와.함께 있어준 당신.부디 행복한 날도.살다 지치는 날도.모두 그대의 곁에 내가.있어줄 수 있길.어떤 소식 보다 더.애타게 기다려지는 그대.엇갈리지 않게 여기.기다릴게요.눌러 적은 편지에.수많은 그리움 고이 담아.그대 내게로 올 때면.그 손에 쥐어줄게요.어떤 이유로 만나.나와 사랑을 하고.어떤 이유로 내게 와.함께 있어준 당신.부디 행복한 날도.살다 지치는 날도.모두 그대의 곁에 내가.있어줄 수 있길.네 번의 모든 계절들과.열두 달의 시간을 너와.숨이 차게 매일.사랑하며 함께 할게.어떤 이유로 만나.우리 사랑을 했던.지금 이 순간처럼.매일 바라보며.애써주기를.부디 행복한 날도.살다 지치는 날도.모두 그대의 곁에 내가.있어줄 수 있길.부디.추억만 남지 않길 너완
474,아이돌,Remember,Apink (에이핑크),Pink MEMORY,DO YOU REMEMBER 우릴 비추던 태양.넓고 푸른 바다 마치 어제처럼.시간이 멈춰버린 기억 그 속에 ..하얀 모래 위를 함께 걷던 날 기억하나요.잠깐 밀려오는 파도 속에서도 .떨어지지 않았던 YEAH ..(하나 둘 셋) 어느새 이렇게 .점점 나도 모르게 웃음이 사라져가고.(하나 둘 셋) 뒤돌아볼 수도 .앞을 내다볼 수도 없이 지친 너와 나 이제 ..함께 떠나요 시원한 바람 속에 .오늘은 다 잊고 그때 우리처럼 .DO YOU REMEMBER 우릴 비추던 태양.넓고 푸른 바다 마치 어제처럼 ..시간이 멈춰진 듯이 언제나 바랬듯이.REMEMBER REMEMBER REMEMBER ..붉은 태양이 지는 .그 여름밤을 기억하나요.어둠이 하늘을 덮어올수록 .별은 더 밝게 빛난 걸 YEAH ..(하나 둘 셋) 하늘을 모른 채 .땅만 바라보는 게 점점 늘어만 가고.(하나 둘 셋) .지금이 낮인지 밤인지도 모르는 .시간 속에 지친 너와 나 다시 ..함께 떠나요 시원한 바람 속에 .오늘은 다 잊고 그때 우리처럼 .DO YOU REMEMBER 우릴 비추던 태양.넓고 푸른 바다 마치 어제처럼 ..시간이 멈춰진 듯이 언제나 바랬듯이.REMEMBER REMEMBER REMEMBER ..YOU 뭘 아직도 망설여요 .YOU 다 잊고 나와 함께 가요 .저 푸른 바다에 다 던져버려요 .우리 더 늦기 전에 ..기억하나요.맘속에 그때가.어제처럼 느껴지는 순간 ..DO YOU REMEMBER 우릴 비추던 태양 .넓고 푸른 바다 마치 어제처럼 .시간이 멈춰진 듯이 언제나 바랬듯이.REMEMBER REMEMBER REMEMBER ..DO YOU REMEMBER 
475,아이돌,OOH-AHH하게,TWICE (트와이스),THE STORY BEGINS,모두 나를 가지고.매일 가만 안 두죠.내가 너무 예쁘죠.나 때문에 다 힘들죠.어딜 걷고 있어도.빨간 바닥인 거죠.Red carpet 같은 기분.모두 날 쳐다 보죠 oh..어떤 사람은 어머님이 누구냐고.신선하게 말 걸어도.아무 느낌이 안 들죠.하지만 나도 누군가 하고 사랑에.빠져보고 싶어 Baby.잘 들어요 내 Boy..단 한번도 느껴본 적 없는 걸.알게 해주는 .(사람 기다리고 있는 걸).얼마가 돼도 기다리고 싶어.I just wanna fall in love..어떻게 내가 움직일 수 없게 .날 Ooh Ahh Ooh Ahh 하게 만들어줘.가짜 가짜 진심 없는 가짜 .잘 가 잘 가 Huh.(OOH-AHH하게).어떻게 이제 더 할말이 없게 .날 Ooh Ahh Ooh Ahh 하게 만들어줘.Bla La La La 말만하지 말고 .느껴지게 Huh.(OOH-AHH하게)..날 봐 거봐 또 두 번 봐.한번 지나치고 .등을 돌려 쳐다봐 (TWICE).어딜 가더라도 항상 민 낯.하지만 내가 제일 빛나.낮은 신발 신어도 가치는 High..머릿속엔 늘 영화 속 같은 La La La.장면들이 지나가네 .생각만해도 떨리네 yeah.이제는 나도 누군가 하고 사랑에 .빠져 보고 싶어 Baby.잘 들어요 내 Boy..아무하고 만나 시작하기 싫어 .쉽지 않은 여자 그게 나인걸 ..Let me see.How you gon treat me.I ain’t no easy.Better think about it TWICE
476,걸그룹,Mood (feat. Taeyong),Marteen,8,I done made the same mistakes 4 or 5 times.Like when I lost my wallet.Couldn't find it in hawaii.(That thang was gucci too).Every little thang ain't always gonna be alright.But I can't trip no I can't trip.It seems like everything's gone wrong yeah.But I know it's not worth holding on.Got me blue.No matter what I do I still feel like I lose.But I ain't gon' let that mess up.My moo oo oo oo ood (Aye).My moo oo oo oo ood (Yeah).Things they happen all the time.But no I won't let that mess up.My moo oo oo oo ood.하긴 뭐 그래 뭐.지금 돌이켜 보면.지금의 날 누가 알아보려나.엄마한테 등짝 엄청 맞았을 때.엄마 말 들을 걸 그랬지 바보야.꼬리표처럼 나를 따라다녀.But I know it's gonna be alright.내가 잘하고 있다는 걸 알아.If you wanna mess up my moo oo ood.But you can't kill my vibe now.Lookin' at my life through the sunroof now.잊지 않아 어려웠던 순간.이겨냈고 Now I'm ridin' groove now.깊이 남은 흉터가 Proof proof.I won't let that mess up.다 떠들어대 나에 대해서.That verse 걍 됐어.No thanks 아니 Thanks for.Thank you world.Thank you mom thank you 툥프.Give me love 힘을 줘.It's done this mood.But I ain't gon' let that mess up.My moo oo oo oo ood (Aye).My moo oo oo oo ood (Yeah).Things they happen all the time.But no I won't let that mess up.My moo oo oo oo ood.Let it bring me down I can't.Yeah we way too blessed to be wasting time.It's good cause I know it's gon' change.I know it will I'm sure it will.Let it bring me down I can't.Yeah we way too blessed to be wasting time.It's good cause I know it's gon' change.But I ain't gon' let that mess up.My moo oo oo oo ood.My moo oo oo oo ood (Yeah).Things they happen all the time.But no I won't let that mess up.My moo oo oo oo ood
477,걸그룹,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Let's get it..Ohhhhhh.Savage Love.Derulo  ..If I woke up without you.I don't know what I would do.Thought I could be single forever 'till I met you.Usually don't be fallin' be fallin' fast.You gotta way of keeping me comin' back-to-back.I just found out the only reason that you lovin' me.Was to get back at your ex lover but before you leave.Usually I would never would never even care.Baby I know she creepin' I feel it in the air..Every night and every day.I try to make you stay.But your..Savage love.Did somebody did somebody.Break your heart?.Lookin' like an angel.But your savage love.When you kiss me.I know you don't give two fucks.But I still want that.Your savage love.Your savage la-la-love.Your savage la-la-love.You could use me.Cuz I still want that (your savage)..사랑이란 어쩌면 순간의 감정의 나열.조건이 다들 붙지 난 뭘 사랑하는가.영원이라는 말은 어쩌면 모래성.잔잔한 파도 앞에 힘없이 무너져. .Every night every day .I'm swept away by the waves .Don't know what I'm thinking.Can’t get you outta my head .내가 두려운 게 그대이든 그때이든 .불같이 사랑할래 그댈 지금..Every night and every day.I try to make you stay.But your..Savage love.Did somebody did somebody.Break your heart?.Lookin' like an angel.But your savage love.But when you kiss me.I know you don't give two fucks.But I still want that.Your savage love.Your savage la-la-love.Your savage la-la-love.You could use me.Cos I still want that your savage love..Your savage la-la-love.Your savage la-la-love.You could use me.Baby..Savage love.Did somebody did somebody.Break your heart?.Lookin' like an angel.But your savage love.But when you kiss me.I know you don't give two fucks.But I still want that..Your savage love (savage love).Your savage la-la-love.Your savage la-la-love.Girl you could use me..Cuz I still want that.Your savage love
478,걸그룹,Cruise,Ann One,Cruise,I've been up all night.Tryin' to calm my mind but I can't sleep.Everything in my body wants to run to you.Can we go for a drive?.We can leave now and catch daylight.Hit the 10 to the beach.And make love until the sunrise.Tell me you're on your way baby.I'll put Sade on the playlist.Find a spot for us off PCH.Let's just cruise.Cruise with me baby.Ride out to the waves.Palm trees and purple haze.Let's cruise.Cruise with me baby.We can ride 'til the morning light.'Til the morning light.그대 내게 어디로 갈지.말하지 않아도 돼.그대와 가는 곳 그 어디든.내겐 The way to paradise.팔에 스쳐가는 바람.Sweet so 맡아 향기.어둠이 걷혀.오묘하게 물든.바다를 보며.그댈 향해 웃지.삶이 아름답기에.두 손을 맞잡아.끝없는 어둠을 버티기엔.혼자서 견딜 수 없네.아침 해가 뜰 때.Just say that I Love you babe um.Let's just cruise.Cruise with me baby.Ride out to the waves.Palm trees and purple haze.Let's cruise.Cruise with me baby.We can ride 'til the morning light.'Til the morning light.Waiting for the sunlight.We just talk about the days of new life.Because of you.I feel like I got a new present.For my life my love.Golden ways bloomed in the white sand.Like it's our next journey um.If you are with me.I can go anytime anywhere anyways.Let's just cruise.Cruise with me baby.Ride out to the waves.Palm trees and purple haze.Let's cruise.Cruise with me baby.We can ride 'til the morning light.'Til the morning light
479,아이돌,Touch My Body,씨스타(Sistar),TOUCH N MOVE,Touch my body Body.Touch my body Body.Touch my body Body.Touch my body ..I know you want it 넌 내 곁으로 와.내가 준비한 wine 달콤한 chocolate chocolate.좀 부드럽고 때론 뜨거워지는 너만을 위한 my pool.na na na na na na ..빨개진 너의 두 눈에 비친 내 모습.운전은 니가 해 그저 내 두 손은 하늘위로 .Yeh baby dancing with me you're my star..Touch my body 우린 조금씩 빠르게.Oh everybody 푸른 하늘 보다 높이 .지금 이 리듬이 좋아 뜨거운 태양아래 너와나 .My body body Touch ma body..Baby so good 지금 기분은 paradise.Baby so nice 우리 둘만의 summer night.조금씩 one step two step 달빛 아래 너와나 .My body body Touch ma body..Touch my body Body.Touch my body Body.Touch my body Body.Touch my body..하나 둘씩 밝혀지는 니 맘 속안에 촛불 .힘이 들 땐 조금 쉬었다가요 여기 red pool .내 입술이 좋아 아님 내 body가 좋아 .솔직히 말해 여기 여기 여기 아님 저기 저기 저기..나밖에 없다고 지금 내게 말해줘 .부끄럽게 자꾸 보지 말고 계속 날 안아줘 .날 사랑한다 말해줘 ..Touch my body 우린 조금씩 빠르게.Oh everybody 푸른 하늘 보다 높이 .지금 이 리듬이 좋아 뜨거운 태양아래 너와나 .My body body Touch ma body..Baby so good 지금 기분은 paradise.Baby so nice 우리 둘만의 summer night.조금씩 one step two step 달빛 아래 너와나 .My body body Touch ma body..Touch my body my body my body my body my body..너와 함께 있는 지금 Tonight.둘이 함께 보는 저 별들 .어느 누구보다 행복해 ..너와 함께 있는 지금 Tonight.둘이 함께 보는 저 별들 .어느 누구보다 행복해 Touch ma body.
480,걸그룹,Stay All Night (Feat. Jimmy Brown),Nathania,Honey Moon,Taking it all in.I can not register what's special to me.Checking in and being here.Reality's a grasp too far from me.Can't you see?.Trynna to make you stay all night long.'Cus without you I'm lonely.Won't let you go.Let's just use our time to.Find what is handy tonight.Can be anything baby.Be my king for me.Can't you see I'm playing.Simply with these feelings.Don't take it straight to your heart.No need to sign a lease.Just stay here with no plea.Let's read the setting.Smoothly the mood shifts to.Utopia like issues.All through the night by your side.I won't waver.Leaving no traces of hesitation.You know that you got all my attention.Let us lose the tension.Left with no confusion.Just do what you want 'till dawn eh.Trynna to make you stay all night long.'Cus without you I'm lonely.Won't let you go.Let's just use our time to.Find what is handy tonight.Can be anything baby.Be my king for me.There ain't no barrier.Reaching for your soul.Flying higher.So can I just try.To keep you here all night.Stop time for you.I'm waiting for a cue.Baby 풀어 나의 Fantasy.종이 울려 이후엔 우리는 어딜지.I'll hold you up 처음엔 미로 같은 길.운을 띄워 봐 저 하늘까지 담은 시.하늘까지 담은 시.울상인 입을 올려줘.미래에 관한 장난 섞인 말 좋아.네가 더 잘 보이니까.나중엔 아냐 비밀.In my bag in my feelings.네게 다가갈게 더.Trynna to make you stay all night long.'Cus without you I'm lonely.Won't let you go.Let's just use our time to.Find what is handy tonight.Can be anything baby.Be my king for me.There ain't no barrier.Reaching for your soul.Flying higher.So can I just try.To keep you here all night.Stop time for you.I'm waiting for a cue
481,걸그룹,Fallin’ (Adrenaline) [AB6IX Remix],Why Don't We(와이 돈 위),Fallin’ (Adrenaline) [AB6IX Remix],순간 사로잡혀.단번에 생각에.모든 게 멈춰.Nothing but you and I.뛰는 심장이 말을 듣지 않아 But like this.둘만의 Promise.내 곁에 있어줘.사실은 나도.나를 잘 모르지만.그게 내 유일한 의문점이니 Stop this.Ooh 넌 나의 뮤즈.무모해진 날.Oh you're makin' me makin' me.Makin' me give in.Oh baby 느껴지는 rush Of adrenaline.낭떠러지라도 괜찮아.깊은 사랑에 눈이 멀어서.Maybe we'll just keep fallin'.느껴지는 rush Of adrenaline.낭떠러지라도 괜찮아.깊은 사랑에 눈이 멀어서.Maybe we'll just keep fallin'.When I'm around you I feel it in my veins.There's something about you.That's makin' me go insane.We have a storm to weather.My little sweet surrender.Ooh you are my muse.I feel so reckless.Oh you're makin' me makin' me.Makin' me give in.Oh baby I can feel the rush of adrenaline.I'm not scared to jump if you want to.Let's just fall in love for the hell of it.Maybe we'll just keep fallin'.I can feel the rush of adrenaline.I'm not scared to jump 'cause I want you.Let's just fall in love for the hell of it.Maybe we'll just keep fallin'.이젠 돌이킬 수 없어.그곳이 어디라도 난 괜찮아.이미 시작 되어버린 Movie.이 느낌을 기억해 꽉 잡아.서로의 기억 잃어버리지 않게.I'm on my way 여전히 너에게로 가고 있어.우리들의 약속 지켜낼게 어떤 시련이 와도.난 Be ok be ok.Ooh 넌 나의 뮤즈.무모해진 날.Oh you're makin' me makin' me makin' me.Makin' me makin' me makin' me.Makin' me give in.Oh baby I can feel the rush of adrenaline.I'm not scared to jump if you want to.Let's just fall in love for the hell of it.Maybe we'll just keep fallin'.느껴지는 rush Of adrenaline.낭떠러지라도 괜찮아.깊은 사랑에 눈이 멀어서.Maybe we'll just keep fallin'.Maybe we'll just keep fallin'
